GeneID,Localization
G234644,nucleus
G234880,nucleus
G235131,nucleus
G235077,cytoskeleton
G235728,golgi
G235716,ER
G238234,nucleus
G235715,cytoplasm
G235200,vacuole
G234286,mitochondria
G235225,nucleus
G234458,nucleus
G235653,cytoskeleton
G235408,mitochondria
G235617,vacuole
G235435,cytoplasm
G235689,nucleus
G234860,plasma membrane
G236506,cytoplasm
G237228,cytoskeleton
G235336,cytoplasm
G234522,plasma membrane
G240504,cytoplasm
G235626,cytoplasm
G234271,plasma membrane
G234178,nucleus
G240410,cytoplasm
G235471,nucleus
G234089,plasma membrane
G237038,golgi
G235717,nucleus
G235515,cytoplasm
G235303,mitochondria
G235043,nucleus
G238510,nucleus
G235447,nucleus
G234702,integral membrane
G234368,cytoplasm
G235563,nucleus
G235866,cytoplasm
G239266,cytoplasm
G236626,cytoplasm
G236589,mitochondria
G235240,nucleus
G235380,cytoplasm
G235619,nucleus
G235436,cytoplasm
G235629,nucleus
G235703,ER
G234167,cytoskeleton
G238295,nucleus
G238195,cytoplasm
G235228,cytoplasm
G239428,cytoplasm
G235726,mitochondria
G234636,nucleus
G234103,cytoplasm
G235229,nucleus
G234468,cytoplasm
G236167,nucleus
G237160,nucleus
G239063,nucleus
G235105,nucleus
G235101,cytoplasm
G235579,mitochondria
G235876,mitochondria
G235130,cytoplasm
G238392,cytoskeleton
G235830,nucleus
G236733,mitochondria
G236895,nucleus
G235334,nucleus
G235785,nucleus
G238933,nucleus
G235516,nucleus
G239223,cytoplasm
G238024,golgi
G235052,mitochondria
G236063,cytoplasm
G235243,nucleus
G236147,golgi
G238637,nucleus
G237661,cytoplasm
G235499,transport vesicles
G234767,plasma membrane
G240337,nucleus
G235453,nucleus
G239626,mitochondria
G235550,nucleus
G234983,cytoskeleton
G239188,mitochondria
G237123,nucleus
G238789,nucleus
G235568,nucleus
G238793,nucleus
G234638,nucleus
G235664,cytoplasm
G235313,cytoskeleton
G234212,cytoplasm
G235340,cytoskeleton
G238891,ER
G236047,cytoplasm
G236325,nucleus
G235288,cytoplasm
G235706,nucleus
G235213,nucleus
G235277,cytoskeleton
G235158,cytoskeleton
G236546,nucleus
G235132,cytoplasm
G234725,nucleus
G234293,plasma membrane
G234371,cytoplasm
G240292,cytoplasm
G234876,cytoplasm
G235375,nucleus
G235724,cytoskeleton
G235332,nucleus
G234076,nucleus
G235310,nucleus
G236730,nucleus
G240468,cytoplasm
G235044,cytoplasm
G236479,nucleus
G235821,mitochondria
G235307,cytoplasm
G237243,plasma membrane
G238238,cytoplasm
G235607,golgi
G234402,cytoplasm
G239640,golgi
G234360,cytoplasm
G234665,peroxisome
