Country1,Country2,Length
A,CH,164.0
A,CZ,362.0
A,D,784.0
A,FL,37.0
A,H,366.0
A,I,430.0
A,SK,91.0
A,SLO,324.0
AFG,IR,936.0
AFG,PK,2430.0
AFG,TAD,1206.0
AFG,TJ,76.0
AFG,TM,744.0
AFG,UZB,137.0
AL,GR,282.0
AL,KOS,112.0
AL,MK,151.0
AL,MNE,172.0
AND,E,65.0
AND,F,60.0
ANG,NAM,1376.0
ANG,RCB,201.0
ANG,Z,1110.0
ANG,ZRE,2511.0
ARM,AZ,787.0
ARM,GE,164.0
ARM,IR,35.0
ARM,TR,268.0
AZ,GE,322.0
AZ,IR,611.0
AZ,R,284.0
AZ,TR,9.0
B,D,167.0
B,F,620.0
B,L,148.0
B,NL,450.0
BD,IND,4053.0
BD,MYA,193.0
BEN,BF,306.0
BEN,RN,266.0
BEN,RT,644.0
BEN,WAN,773.0
BF,CI,584.0
BF,GH,548.0
BF,RMM,1000.0
BF,RN,628.0
BF,RT,126.0
BG,GR,494.0
BG,MK,148.0
BG,RO,608.0
BG,SRB,318.0
BG,TR,240.0
BHT,IND,605.0
BHT,TJ,470.0
BI,EAT,451.0
BI,RWA,290.0
BI,ZRE,233.0
BIH,HR,932.0
BIH,KOS,225.0
BIH,SRB,302.0
BOL,BR,3400.0
BOL,PE,900.0
BOL,PY,750.0
BOL,RA,832.0
