Name,Code,Capital,Province,Area,Population
Austria,A,Vienna,Vienna,83850.0,8023244
Afghanistan,AFG,Kabul,Afghanistan,647500.0,22664136
Antigua and Barbuda,AG,Saint Johns,Antigua and Barbuda,442.0,65647
Albania,AL,Tirane,Albania,28750.0,3249136
American Samoa,AMSA,Pago Pago,American Samoa,199.0,65628
Andorra,AND,Andorra la Vella,Andorra,450.0,72766
Angola,ANG,Luanda,Luanda,1246700.0,10342899
Armenia,ARM,Yerevan,Armenia,29800.0,3463574
Aruba,ARU,Oranjestad,Aruba,193.0,103065
Australia,AUS,Canberra,Australia Capital Territory,7686850.0,18260863
Anguilla,AXA,The Valley,Anguilla,102.0,14436
Azerbaijan,AZ,Baku,Azerbaijan,86600.0,7676953
Belgium,B,Brussels,Brabant,30510.0,10170241
Bangladesh,BD,Dhaka,Bangladesh,144000.0,123062800
Barbados,BDS,Bridgetown,Barbados,430.0,257030
Benin,BEN,Porto-Novo,Benin,112620.0,5709529
Bermuda,BERM,Hamilton,Bermuda,53.3,67837
Burkina Faso,BF,Ouagadougou,Burkina Faso,274200.0,10623323
Bulgaria,BG,Sofia,Bulgaria,110910.0,8612757
Bhutan,BHT,Thimphu,Bhutan,47000.0,1822625
Burundi,BI,Bujumbura,Burundi,27830.0,5943057
Bosnia and Herzegovina,BIH,Sarajevo,Bosnia and Herzegovina,51233.0,2656240
Bolivia,BOL,La Paz,Bolivia,1098580.0,7165257
Brazil,BR,Brasilia,Distrito Federal,8511960.0,162661214
Bahrain,BRN,Manama,Bahrain,620.0,590042
Brunei,BRU,Bandar Seri Begawan,Brunei,5770.0,299939
Bahamas,BS,Nassau,Bahamas,13940.0,259367
British Virgin Islands,BVIR,Road Town,British Virgin Islands,153.0,24491
Belarus,BY,Minsk,Belarus,207600.0,10415973
Belize,BZ,Belmopan,Belize,22960.0,219296
Cuba,C,Havana,Ciudad de la Habana,110860.0,10951334
Cameroon,CAM,Yaounde,Centre,475440.0,14261557
Cayman Islands,CAYM,George Town,Cayman Islands,262.0,49035
Canada,CDN,Ottawa,Ontario,9976140.0,28820671
Switzerland,CH,Bern,BE,41290.0,7207060
Cote dIvoire,CI,Yamoussoukro,Cote dIvoire,322460.0,14762445
Sri Lanka,CL,Colombo,Sri Lanka,65610.0,18553074
Colombia,CO,Bogota,"Santa Fe de Bogota, DC",1138910.0,36813161
Cocos Islands,COCO,West Island,Cocos Islands,14.0,596
Comoros,COM,Moroni,Comoros,2170.0,569237
Cook Islands,COOK,Avarua,Cook Islands,240.0,11870
Costa Rica,CR,San Jose,San Jose,51100.0,3463083
Cape Verde,CV,Praia,Cape Verde,4030.0,449066
Cyprus,CY,Nicosia,Cyprus,9251.0,744609
Czech Republic,CZ,Prague,Praha,78703.0,10321120
Germany,D,Berlin,Berlin,356910.0,83536115
Djibouti,DJI,Djibouti,Djibouti,22000.0,427642
