Country,GDP,Agriculture,Service,Industry,Inflation
A,152000.0,2.0,34.0,64.0,2.3
AFG,12800.0,65.0,15.0,20.0,0.0
AG,425.0,3.5,19.3,77.2,3.5
AL,4100.0,55.0,0.0,0.0,16.0
AMSA,462.2,0.0,0.0,0.0,0.0
AND,1000.0,0.0,0.0,0.0,0.0
ANG,7400.0,12.0,56.0,32.0,20.0
ARM,9100.0,57.0,36.0,7.0,32.2
ARU,2258.0,0.0,0.0,0.0,3.4
AUS,405400.0,3.1,27.7,69.2,4.75
AXA,53.0,0.0,0.0,0.0,4.0
AZ,11500.0,0.0,0.0,0.0,85.0
B,197000.0,2.0,28.0,70.0,1.6
BD,144500.0,0.0,0.0,0.0,4.5
BDS,2500.0,6.4,39.3,54.3,1.7
BEN,7600.0,36.8,12.6,50.6,55.0
BERM,4500.0,1.0,10.0,89.0,2.8
BF,7400.0,32.0,24.0,44.0,5.0
BG,43200.0,12.0,36.0,52.0,35.0
BHT,1300.0,0.0,0.0,0.0,8.6
BI,4000.0,54.1,16.8,29.1,10.0
BIH,1000.0,0.0,0.0,0.0,0.0
BOL,20000.0,0.0,0.0,0.0,12.0
BR,976800.0,16.0,25.0,59.0,23.0
BRN,7300.0,0.0,0.0,0.0,3.0
BRU,4600.0,3.0,42.0,55.0,2.4
BS,4800.0,3.0,35.0,62.0,1.5
BVIR,133.0,0.0,0.0,0.0,2.5
BY,49200.0,21.0,49.0,30.0,244.0
BZ,575.0,30.0,0.0,0.0,2.3
C,14700.0,7.0,30.0,63.0,0.0
CAM,16500.0,29.0,24.0,47.0,48.0
CAYM,1939.0,1.4,3.2,95.4,4.4
CDN,694000.0,2.0,26.0,72.0,2.4
CH,158500.0,3.0,33.5,63.5,1.8
CI,21900.0,37.0,24.0,39.0,10.0
CL,65600.0,24.0,24.0,52.0,8.4
CO,192500.0,21.5,29.0,49.5,19.5
COCO,0.0,0.0,0.0,0.0,0.0
COM,370.0,0.0,0.0,0.0,15.0
COOK,183.2,15.1,9.6,75.3,2.1
CR,18400.0,0.0,0.0,0.0,22.5
CV,440.0,13.0,17.0,70.0,5.0
CY,7800.0,5.6,24.9,69.5,0.0
CZ,106200.0,5.8,40.7,53.5,9.1
D,1452200.0,1.0,34.2,64.8,0.0
DJI,500.0,3.0,21.0,76.0,6.0
