Country,Continent,Percentage
A,Europe,100.0
AFG,Asia,100.0
AG,America,100.0
AL,Europe,100.0
AMSA,Australia/Oceania,100.0
AND,Europe,100.0
ANG,Africa,100.0
ARM,Asia,100.0
ARU,America,100.0
AUS,Australia/Oceania,100.0
AXA,America,100.0
AZ,Asia,100.0
B,Europe,100.0
BD,Asia,100.0
BDS,America,100.0
BEN,Africa,100.0
BERM,America,100.0
BF,Africa,100.0
BG,Europe,100.0
BHT,Asia,100.0
BI,Africa,100.0
BIH,Europe,100.0
BOL,America,100.0
BR,America,100.0
BRN,Asia,100.0
BRU,Asia,100.0
BS,America,100.0
BVIR,America,100.0
BY,Europe,100.0
BZ,America,100.0
C,America,100.0
CAM,Africa,100.0
CAYM,America,100.0
CDN,America,100.0
CH,Europe,100.0
CI,Africa,100.0
CL,Asia,100.0
CO,America,100.0
COCO,Australia/Oceania,100.0
COM,Africa,100.0
COOK,Australia/Oceania,100.0
CR,America,100.0
CV,Africa,100.0
CY,Europe,100.0
CZ,Europe,100.0
D,Europe,100.0
DJI,Africa,100.0
DK,Europe,100.0
