Desert,Country,Province
Dascht-e-Margoh,AFG,Afghanistan
Rigestan,AFG,Afghanistan
Kalahari,ANG,Cuando Cubango
Kalahari,ANG,Moxico
Sturt Desert,AUS,New South Wales
Red Centre,AUS,Northern Territory
Simpson Desert,AUS,Northern Territory
Sturt Desert,AUS,Northern Territory
Tanami,AUS,Northern Territory
Simpson Desert,AUS,Queensland
Sturt Desert,AUS,Queensland
Great Victoria Desert,AUS,South Australia
Nullarbor Plain,AUS,South Australia
Red Centre,AUS,South Australia
Simpson Desert,AUS,South Australia
Gibson Desert,AUS,Western Australia
Great Sandy Desert,AUS,Western Australia
Great Victoria Desert,AUS,Western Australia
Nullarbor Plain,AUS,Western Australia
Red Centre,AUS,Western Australia
Azaouad,DZ,Algeria
Erg Chech,DZ,Algeria
Erg Igidi,DZ,Algeria
Erg Isaouane,DZ,Algeria
Grand Erg Est,DZ,Algeria
Grand Erg Ouest,DZ,Algeria
Hamada du Draa,DZ,Algeria
Tanezrouft,DZ,Algeria
Libyan Desert,ET,Beni Suef
Arabian Desert,ET,El Bahr el Ahmar
