River,Country,Province
Enns,A,Lower Austria
March,A,Lower Austria
Enns,A,Salzburg
Salzach,A,Salzburg
Enns,A,Styria
Inn,A,Tyrol
Enns,A,Upper Austria
Pjandsh,AFG,Afghanistan
Black Drin,AL,Albania
Drin,AL,Albania
White Drin,AL,Albania
Darling River,AUS,New South Wales
Murrumbidgee River,AUS,New South Wales
Murray River,AUS,South Australia
Kura,AZ,Azerbaijan
Brahmaputra,BD,Bangladesh
Ruzizi,BI,Burundi
Rio Desaguadero,BOL,Bolivia
Rio Mamore,BOL,Bolivia
Rio Sao Francisco,BR,Alagoas
Amazonas,BR,Amapa
Rio Madeira,BR,Amazonas
Rio Negro,BR,Amazonas
Amazonas,BR,Para
Tocantins,BR,Para
Rio Sao Francisco,BR,Sergipe
Sanaga,CAM,Cote/Littoral
Schari,CAM,Nord extreme
Nelson River,CDN,Manitoba
Mackenzie River,CDN,Northwest Territories
Detroit River,CDN,Ontario
Niagara River,CDN,Ontario
Manicouagan,CDN,Quebec
Riviere Richelieu,CDN,Quebec
Saint Lawrence River,CDN,Quebec
Saskatchewan River,CDN,Saskatchewan
Aare,CH,AG
Limmat,CH,AG
Reuss,CH,AG
Rio Magdalena,CO,Atlantico
Rio San Juan,CR,Alajuela
Moldau,CZ,Praha
Breg,D,Baden Wurttemberg
Brigach,D,Baden Wurttemberg
Iller,D,Baden Wurttemberg
Neckar,D,Baden Wurttemberg
Alz,D,Bayern
Ammer,D,Bayern
Iller,D,Bayern
Inn,D,Bayern
Isar,D,Bayern
Lech,D,Bayern
Salzach,D,Bayern
