Lake,Country,Province
Neusiedlersee,A,Burgenland
Bodensee,A,Vorarlberg
Lake Ohrid,AL,Albania
Lake Prespa,AL,Albania
Lake Skutari,AL,Albania
Lake Burley Griffin,AUS,Australia Capital Territory
Lake Hume,AUS,New South Wales
Lake Eyre,AUS,South Australia
Lake Hume,AUS,Victoria
Caspian Sea,AZ,Azerbaijan
Lake Tanganjika,BI,Burundi
Lake Titicaca,BOL,Bolivia
Licancabur Crater Lake,BOL,Bolivia
Poopo,BOL,Bolivia
Salar de Uyuni,BOL,Bolivia
Lago de Sobradinho,BR,Bahia
Barrage de Mbakaou,CAM,Adamaoua
Chad Lake,CAM,Nord extreme
Lake Nyos,CAM,Nordoueste
Atlin Lake,CDN,British Columbia
Lake Winnipeg,CDN,Manitoba
Great Bear Lake,CDN,Northwest Territories
Great Slave Lake,CDN,Northwest Territories
Lake Erie,CDN,Ontario
Lake Huron,CDN,Ontario
Lake Manitou,CDN,Ontario
Lake Nipigon,CDN,Ontario
Lake Ontario,CDN,Ontario
Lake Superior,CDN,Ontario
Lake Champlain,CDN,Quebec
Lake Manicouagan,CDN,Quebec
Atlin Lake,CDN,Yukon Territory
Brienzersee,CH,BE
Thunersee,CH,BE
Lac Leman,CH,GE
Zurichsee,CH,GL
Vierwaldstattersee,CH,LU
Vierwaldstattersee,CH,NW
Vierwaldstattersee,CH,OW
Bodensee,CH,SG
Vierwaldstattersee,CH,SZ
Zurichsee,CH,SZ
Bodensee,CH,TG
Lago Maggiore,CH,TI
Vierwaldstattersee,CH,UR
Lac Leman,CH,VD
Lac Leman,CH,VS
Zurichsee,CH,ZH
Lake Nicaragua,CR,Alajuela
Lake Irazu,CR,Cartago
