Mountain,Country,Province
Grossglockner,A,Carinthia
Hochgolling,A,Salzburg
Hochgolling,A,Styria
Zugspitze,A,Tyrol
Tirich Mir,AFG,Afghanistan
Jezerce,AL,Albania
Korab,AL,Albania
Mt. Kosciuszko,AUS,New South Wales
Uluru,AUS,Northern Territory
Mt. Bogong,AUS,Victoria
Musala,BG,Bulgaria
Illampu,BOL,Bolivia
Illimani,BOL,Bolivia
Licancabur,BOL,Bolivia
Sajama,BOL,Bolivia
Pico de Agulhas Negras,BR,Minas Gerais
Pico de Agulhas Negras,BR,Rio de Janeiro
Pico Turquino,C,Granma
Pico Turquino,C,Santiago de Cuba
Fako,CAM,Sudoueste
Mt Columbia,CDN,Alberta
Mt Columbia,CDN,British Columbia
Mt Fairweather,CDN,British Columbia
Mt Robson,CDN,British Columbia
Mt Waddington,CDN,British Columbia
Barbeau Peak,CDN,Northwest Territories
Mt. Odin,CDN,Northwest Territories
Mt. Babel,CDN,Quebec
Mt Bona,CDN,Saskatchewan
Mt Logan,CDN,Yukon Territory
Mt St.Elias,CDN,Yukon Territory
Finsteraarhorn,CH,BE
Crap_Sogn_Gion,CH,GR
Piz Bernina,CH,GR
Finsteraarhorn,CH,VS
GrandCombin,CH,VS
Matterhorn,CH,VS
Monte Rosa,CH,VS
Pidurutalagala,CL,Sri Lanka
Nevado del Ruiz,CO,Choco
Nevado del Huila,CO,Huila
Pico Cristobal Colon,CO,Magdalena
Nevado del Ruiz,CO,Risaralda
Cerro Chirripo,CR,Cartago
Irazu,CR,Cartago
Cerro Chirripo,CR,Limon
Fogo,CV,Cape Verde
Olympos,CY,Cyprus
Schneekoppe,CZ,Vychodocesky
Feldberg,D,Baden Wurttemberg
Grosser Arber,D,Bayern
Zugspitze,D,Bayern
Brocken,D,Sachsen Anhalt
Pico Duarte,DOM,Dominican Republic
Tahat,DZ,Algeria
Mulhacen,E,Andalusia
Moncayo,E,Aragon
Pico de Aneto,E,Aragon
Vignemale,E,Aragon
