River,Country,Province
Raab,A,Burgenland
Drau,A,Carinthia
Donau,A,Lower Austria
March,A,Lower Austria
Enns,A,Salzburg
Mur,A,Salzburg
Salzach,A,Salzburg
Mur,A,Styria
Raab,A,Styria
Inn,A,Tyrol
Isar,A,Tyrol
Lech,A,Tyrol
Donau,A,Upper Austria
Donau,A,Vienna
Iller,A,Vorarlberg
Lech,A,Vorarlberg
Rhein,A,Vorarlberg
Amudarja,AFG,Afghanistan
Pjandsh,AFG,Afghanistan
Black Drin,AL,Albania
Drin,AL,Albania
White Drin,AL,Albania
Cuilo,ANG,Bie
Cuilo,ANG,Cuando Cubango
Cuango,ANG,Lunda Norte
Kasai,ANG,Lunda Norte
Cuango,ANG,Lunda Sul
Kasai,ANG,Lunda Sul
Cuango,ANG,Malanje
Cuilo,ANG,Moxico
Kasai,ANG,Moxico
Zambezi,ANG,Moxico
Cuango,ANG,Uige
Murrumbidgee River,AUS,Australia Capital Territory
Darling River,AUS,New South Wales
Murray River,AUS,New South Wales
Murrumbidgee River,AUS,New South Wales
Darling River,AUS,Queensland
Murray River,AUS,South Australia
Murray River,AUS,Victoria
Kura,AZ,Azerbaijan
Maas,B,Liege
Maas,B,Limburg
Maas,B,Namur
Brahmaputra,BD,Bangladesh
Ganges,BD,Bangladesh
Volta,BF,Burkina Faso
Donau,BG,Bulgaria
Ruzizi,BI,Burundi
Save,BIH,Bosnia and Herzegovina
Paraguay,BOL,Bolivia
Rio Desaguadero,BOL,Bolivia
Rio Madeira,BOL,Bolivia
Rio Mamore,BOL,Bolivia
Rio Sao Francisco,BR,Alagoas
Amazonas,BR,Amapa
Amazonas,BR,Amazonas
Rio Madeira,BR,Amazonas
Rio Negro,BR,Amazonas
Rio Sao Francisco,BR,Bahia
Parana,BR,Goias
Tocantins,BR,Goias
Tocantins,BR,Maranhao
Paraguay,BR,Mato Grosso
Paraguay,BR,Mato Grosso do Sul
Parana,BR,Mato Grosso do Sul
Parana,BR,Minas Gerais
Rio Sao Francisco,BR,Minas Gerais
Amazonas,BR,Para
Tocantins,BR,Para
Parana,BR,Parana
Rio Sao Francisco,BR,Pernambuco
Uruguay,BR,Rio Grande do Sul
Rio Madeira,BR,Rondonia
Rio Negro,BR,Roraima
Parana,BR,Sao Paulo
Rio Sao Francisco,BR,Sergipe
Tocantins,BR,Tocantins
Dnepr,BY,Belarus
Western Dwina,BY,Belarus
Sanaga,CAM,Centre
Sanaga,CAM,Cote/Littoral
Sanaga,CAM,Est
Sanga,CAM,Est
Benue,CAM,Nord
Schari,CAM,Nord extreme
Saskatchewan River,CDN,Alberta
Columbia River,CDN,British Columbia
Nelson River,CDN,Manitoba
Saskatchewan River,CDN,Manitoba
Mackenzie River,CDN,Northwest Territories
Detroit River,CDN,Ontario
Niagara River,CDN,Ontario
Manicouagan,CDN,Quebec
Riviere Richelieu,CDN,Quebec
Saint Lawrence River,CDN,Quebec
Saskatchewan River,CDN,Saskatchewan
Yukon River,CDN,Yukon Territory
Aare,CH,AG
Limmat,CH,AG
Reuss,CH,AG
Rhein,CH,AG
Aare,CH,BE
Rhein,CH,BL
Rhein,CH,BS
Rhone,CH,GE
Inn,CH,GR
Rhein,CH,GR
Doubs,CH,JU
Reuss,CH,LU
Rhein,CH,SG
Rhein,CH,SH
Aare,CH,SO
Rhein,CH,TG
Ticino,CH,TI
Reuss,CH,UR
Rhone,CH,VD
Rhone,CH,VS
Limmat,CH,ZH
Rhein,CH,ZH
Bani,CI,Cote dIvoire
Amazonas,CO,Amazonas
Rio Magdalena,CO,Antioquia
Rio Magdalena,CO,Atlantico
Rio Magdalena,CO,Bolivar
Rio Magdalena,CO,Boyaca
Rio Magdalena,CO,Caldas
Orinoco,CO,Guainia
Rio Negro,CO,Guainia
Rio Magdalena,CO,Huila
Rio Magdalena,CO,Magdalena
Rio Magdalena,CO,Norte de Santander
Rio Magdalena,CO,Santander del Sur
Rio Magdalena,CO,Tolima
Orinoco,CO,Vichada
Rio San Juan,CR,Alajuela
Rio San Juan,CR,Heredia
Rio San Juan,CR,Limon
Moldau,CZ,Jihocesky
March,CZ,Jihomoravsky
Elbe,CZ,Praha
Moldau,CZ,Praha
Elbe,CZ,Severocesky
March,CZ,Severomoravsky
Oder,CZ,Severomoravsky
Elbe,CZ,Vychodocesky
Breg,D,Baden Wurttemberg
Brigach,D,Baden Wurttemberg
Donau,D,Baden Wurttemberg
Iller,D,Baden Wurttemberg
Neckar,D,Baden Wurttemberg
Rhein,D,Baden Wurttemberg
Alz,D,Bayern
Ammer,D,Bayern
Donau,D,Bayern
Iller,D,Bayern
Inn,D,Bayern
Isar,D,Bayern
Lech,D,Bayern
Main,D,Bayern
Salzach,D,Bayern
Wurm,D,Bayern
Elbe,D,Brandenburg
Oder,D,Brandenburg
Weser,D,Bremen
Elbe,D,Hamburg
Fulda,D,Hessen
Main,D,Hessen
Rhein,D,Hessen
Werra,D,Hessen
