River,Country,Province
Enns,A,Lower Austria
Mur,A,Salzburg
Salzach,A,Salzburg
Raab,A,Styria
Isar,A,Tyrol
Enns,A,Upper Austria
Iller,A,Vorarlberg
Lech,A,Vorarlberg
Amudarja,AFG,Afghanistan
Pjandsh,AFG,Afghanistan
Drin,AL,Albania
Cuango,ANG,Lunda Sul
Cuilo,ANG,Lunda Sul
Cuango,ANG,Malanje
Kasai,ANG,Moxico
Murrumbidgee River,AUS,New South Wales
Darling River,AUS,Queensland
Murray River,AUS,Victoria
Volta,BF,Burkina Faso
Rio Desaguadero,BOL,Bolivia
Rio Madeira,BOL,Bolivia
Rio Mamore,BOL,Bolivia
Tocantins,BR,Goias
Paraguay,BR,Mato Grosso
Parana,BR,Minas Gerais
Rio Sao Francisco,BR,Minas Gerais
Uruguay,BR,Rio Grande do Sul
Benue,CAM,Nord
Saskatchewan River,CDN,Alberta
Columbia River,CDN,British Columbia
Nelson River,CDN,Manitoba
Mackenzie River,CDN,Northwest Territories
Detroit River,CDN,Ontario
Niagara River,CDN,Ontario
Manicouagan,CDN,Quebec
Riviere Richelieu,CDN,Quebec
Saint Lawrence River,CDN,Quebec
Yukon River,CDN,Yukon Territory
Aare,CH,BE
Inn,CH,GR
Rhein,CH,GR
Ticino,CH,TI
Reuss,CH,UR
