Island,Sea,Lake,River
Svalbard,Norwegian Sea,,
Svalbard,Barents Sea,,
Svalbard,Arctic Ocean,,
Greenland,Atlantic Ocean,,
Greenland,Norwegian Sea,,
Greenland,Arctic Ocean,,
Iceland,Atlantic Ocean,,
Iceland,Norwegian Sea,,
Aust-Vagoey,Norwegian Sea,,
Streymoy,Atlantic Ocean,,
Streymoy,Norwegian Sea,,
Ireland,Atlantic Ocean,,
Ireland,Irish Sea,,
Great Britain,North Sea,,
Great Britain,The Channel,,
Great Britain,Atlantic Ocean,,
Great Britain,Irish Sea,,
Shetland Mainland,North Sea,,
Shetland Mainland,Norwegian Sea,,
Orkney Mainland,North Sea,,
South Ronaldsay,North Sea,,
Hoy,North Sea,,
Westray,North Sea,,
Barra,Atlantic Ocean,,
South Uist,Atlantic Ocean,,
Benbecula,Atlantic Ocean,,
North Uist,Atlantic Ocean,,
Lewis and Harris,Atlantic Ocean,,
Skye,Atlantic Ocean,,
Rhum,Atlantic Ocean,,
Mull,Atlantic Ocean,,
Islay,Atlantic Ocean,,
Jura,Atlantic Ocean,,
Arran,Atlantic Ocean,,
Isle of Man,Irish Sea,,
Anglesey,Irish Sea,,
Isle of Wight,The Channel,,
Lundy,Atlantic Ocean,,
Bishop Rock,Atlantic Ocean,,
Guernsey,The Channel,,
Jersey,The Channel,,
Gotland,Baltic Sea,,
Oeland,Baltic Sea,,
Aland,Baltic Sea,,
Dagoe,Baltic Sea,,
Oesel,Baltic Sea,,
Seeland,Kattegat,,
Seeland,Baltic Sea,,
Fuenen,Kattegat,,
Fuenen,Baltic Sea,,
Langeland,Baltic Sea,,
Falster,Baltic Sea,,
Lolland,Baltic Sea,,
Bornholm,Baltic Sea,,
Helgoland,North Sea,,
Fehmarn,North Sea,,
Rugen,North Sea,,
Usedom,Baltic Sea,,
Sylt,North Sea,,
Fohr,North Sea,,
Amrum,North Sea,,
Pellworm,North Sea,,
Wangerooge,North Sea,,
Spiekeroog,North Sea,,
Langeoog,North Sea,,
Baltrum,North Sea,,
Norderney,North Sea,,
Juist,North Sea,,
Borkum,North Sea,,
