Country,Name,Percentage
BERM,African Methodist Episcopal,11.0
AUS,Anglican,26.1
AXA,Anglican,29.0
BERM,Anglican,23.0
BS,Anglican,20.0
CAYM,Anglican,5.7
CDN,Anglican,8.0
IRL,Anglican,3.0
NORF,Anglican,39.0
NZ,Anglican,24.0
PNG,Anglican,5.0
SLB,Anglican,34.0
SY,Anglican,8.0
TT,Anglican,14.4
TUCA,Anglican,18.0
VU,Anglican,15.0
WL,Anglican,3.0
GE,Armenian Apostolic,8.0
IR,Bahai,1.0
TUV,Bahai,1.0
BS,Baptist,32.0
NZ,Baptist,2.0
SLB,Baptist,17.0
TUCA,Baptist,40.0
VIRG,Baptist,42.0
BHT,Buddhist,75.0
BRU,Buddhist,14.0
CL,Buddhist,69.0
IND,Buddhist,0.7
J,Buddhist,84.0
K,Buddhist,95.0
LAO,Buddhist,60.0
MACX,Buddhist,45.0
MYA,Buddhist,89.0
NEP,Buddhist,5.0
RI,Buddhist,1.0
ROK,Buddhist,47.4
RP,Buddhist,3.0
THA,Buddhist,95.0
XMAS,Buddhist,36.0
ROK,Chondogyo,0.2
AUS,Christian,24.3
BEN,Christian,15.0
BF,Christian,10.0
BI,Christian,67.0
BRU,Christian,8.0
CAM,Christian,33.0
CI,Christian,12.0
CL,Christian,8.0
COCO,Christian,20.0
COOK,Christian,100.0
DJI,Christian,6.0
DZ,Christian,0.5
FJI,Christian,52.0
G,Christian,55.0
GAZA,Christian,0.7
GH,Christian,24.0
GNB,Christian,5.0
GUY,Christian,57.0
HONX,Christian,10.0
IL,Christian,2.0
IND,Christian,2.4
IRQ,Christian,3.0
JOR,Christian,8.0
LB,Christian,10.0
LS,Christian,80.0
MA,Christian,1.1
MH,Christian,100.0
MOC,Christian,30.0
MS,Christian,28.3
MYA,Christian,4.0
NAU,Christian,100.0
RB,Christian,50.0
RC,Christian,4.5
RCB,Christian,50.0
RG,Christian,8.0
RL,Christian,30.0
RM,Christian,41.0
RMM,Christian,1.0
ROK,Christian,48.6
RT,Christian,20.0
SD,Christian,60.0
SN,Christian,2.0
SUD,Christian,5.0
SYR,Christian,10.0
TCH,Christian,25.0
THA,Christian,0.5
TJ,Christian,1.0
TN,Christian,1.0
TO,Christian,100.0
