Country,Target
A,Christian
AFG,non-Christian
AL,non-Christian
AMSA,Christian
AND,Christian
ANG,Christian
ARM,Christian
ARU,Christian
AUS,Christian
AXA,Christian
AZ,non-Christian
B,Christian
BD,non-Christian
BDS,Christian
BEN,non-Christian
BERM,Christian
BF,non-Christian
BG,Christian
BHT,non-Christian
BI,Christian
BIH,non-Christian
BOL,Christian
BR,Christian
BRN,non-Christian
BRU,non-Christian
BS,Christian
BVIR,Christian
BY,Christian
BZ,Christian
C,Christian
CAM,Christian
CAYM,Christian
CDN,Christian
CH,Christian
CI,non-Christian
CL,non-Christian
CO,Christian
COCO,non-Christian
COM,non-Christian
COOK,Christian
