Country,GDP,Agriculture,Service,Industry,Inflation
A,152000.0,2.0,34.0,64.0,2.3
AFG,12800.0,65.0,15.0,20.0,0.0
AG,425.0,3.5,19.3,77.2,3.5
AL,4100.0,55.0,0.0,0.0,16.0
AMSA,462.2,0.0,0.0,0.0,0.0
AND,1000.0,0.0,0.0,0.0,0.0
ANG,7400.0,12.0,56.0,32.0,20.0
ARM,9100.0,57.0,36.0,7.0,32.2
ARU,2258.0,0.0,0.0,0.0,3.4
AUS,405400.0,3.1,27.7,69.2,4.75
AXA,53.0,0.0,0.0,0.0,4.0
AZ,11500.0,0.0,0.0,0.0,85.0
B,197000.0,2.0,28.0,70.0,1.6
BD,144500.0,0.0,0.0,0.0,4.5
BDS,2500.0,6.4,39.3,54.3,1.7
BEN,7600.0,36.8,12.6,50.6,55.0
BERM,4500.0,1.0,10.0,89.0,2.8
BF,7400.0,32.0,24.0,44.0,5.0
BG,43200.0,12.0,36.0,52.0,35.0
BHT,1300.0,0.0,0.0,0.0,8.6
BI,4000.0,54.1,16.8,29.1,10.0
BIH,1000.0,0.0,0.0,0.0,0.0
BOL,20000.0,0.0,0.0,0.0,12.0
