Country,Name,Percentage
GE,Abkhaz,1.8
EAU,Acholi,4.0
DJI,Afar,35.0
ER,Afar,4.0
ETH,Afar,4.0
BDS,African,80.0
BEN,African,99.0
BR,African,44.0
CAM,African,13.0
CV,African,28.0
GH,African,99.8
GNB,African,99.0
JA,African,76.3
KN,African,100.0
LB,African,95.0
RT,African,99.0
SD,African,97.0
TUCA,African,90.0
WAG,African,99.0
WAL,African,99.0
WAN,African,99.0
WG,African,100.0
WL,African,90.3
Z,African,98.7
ZW,African,98.0
HELX,African descent,50.0
MART,African-white-Indian,90.0
SA,Afro-Asian,10.0
JA,Afro-Chinese,1.2
JA,Afro-East Indian,3.0
JA,Afro-European,15.1
AL,Albanian,95.0
KOS,Albanian,88.0
MK,Albanian,22.0
MNE,Albanian,5.0
FL,Alemannic,95.0
LB,Americo-Liberians,5.0
FGU,Amerindian,12.0
GUY,Amerindian,4.0
MEX,Amerindian,30.0
PR,Amerindian,0.4
SME,Amerindian,2.6
YV,Amerindian,2.0
GCA,Amerindian Amerindian,44.0
PY,Amerindians,5.0
ETH,Amhara Tigrean,32.0
AND,Andorran,30.0
BRN,Arab,10.0
CL,Arab,7.0
EAK,Arab,1.0
EAU,Arab,1.0
IR,Arab,3.0
IRQ,Arab,75.0
JOR,Arab,98.0
