Desert,Country,Province
Dascht-e-Margoh,AFG,Afghanistan
Rigestan,AFG,Afghanistan
Kalahari,ANG,Cuando Cubango
Kalahari,ANG,Moxico
Sturt Desert,AUS,New South Wales
Red Centre,AUS,Northern Territory
Simpson Desert,AUS,Northern Territory
Sturt Desert,AUS,Northern Territory
Tanami,AUS,Northern Territory
Simpson Desert,AUS,Queensland
Sturt Desert,AUS,Queensland
Great Victoria Desert,AUS,South Australia
Nullarbor Plain,AUS,South Australia
Red Centre,AUS,South Australia
Simpson Desert,AUS,South Australia
