River,Country,Province
Enns,A,Lower Austria
March,A,Lower Austria
Enns,A,Salzburg
Salzach,A,Salzburg
Enns,A,Styria
Inn,A,Tyrol
Enns,A,Upper Austria
Pjandsh,AFG,Afghanistan
Black Drin,AL,Albania
Drin,AL,Albania
White Drin,AL,Albania
Darling River,AUS,New South Wales
Murrumbidgee River,AUS,New South Wales
Murray River,AUS,South Australia
Kura,AZ,Azerbaijan
Brahmaputra,BD,Bangladesh
Ruzizi,BI,Burundi
Rio Desaguadero,BOL,Bolivia
Rio Mamore,BOL,Bolivia
Rio Sao Francisco,BR,Alagoas
Amazonas,BR,Amapa
Rio Madeira,BR,Amazonas
Rio Negro,BR,Amazonas
Amazonas,BR,Para
Tocantins,BR,Para
Rio Sao Francisco,BR,Sergipe
