Island,Country,Province
Antigua,AG,Antigua and Barbuda
Barbuda,AG,Antigua and Barbuda
Tutuila,AMSA,American Samoa
Aruba,ARU,Aruba
Melville Island,AUS,Northern Territory
Cangaroo Island,AUS,South Australia
Tasmania,AUS,Tasmania
Anguilla,AXA,Anguilla
Barbados,BDS,Barbados
Grand Bermuda,BERM,Bermuda
Bahrain,BRN,Bahrain
Borneo,BRU,Brunei
New Providence,BS,Bahamas
Tortola,BVIR,British Virgin Islands
Cuba,C,Ciego de Avila
Cuba,C,Cienfuegos
Cuba,C,Ciudad de la Habana
Cuba,C,Granma
Cuba,C,Guantanamo
Cuba,C,Holguin
Cuba,C,La Habana
Cuba,C,Las Tunas
Cuba,C,Matanzas
Cuba,C,Pinar del Rio
Cuba,C,Sancti Spiritus
Cuba,C,Santiago de Cuba
Cuba,C,Villa Clara
Cayman Brac,CAYM,Cayman Islands
Grand Cayman,CAYM,Cayman Islands
Little Cayman,CAYM,Cayman Islands
Vancouver Island,CDN,British Columbia
Newfoundland,CDN,Newfoundland
Baffin Island,CDN,Northwest Territories
Banks Island,CDN,Northwest Territories
Ellesmere Island,CDN,Northwest Territories
Prince of Wales Island,CDN,Northwest Territories
Southampton Island,CDN,Northwest Territories
Victoria Island,CDN,Northwest Territories
Manitoulin,CDN,Ontario
Rene Levasseur Island,CDN,Ontario
Prince Edward Island,CDN,Prince Edward Island
