Mountain,Country,Province
Grossglockner,A,Carinthia
Hochgolling,A,Salzburg
Hochgolling,A,Styria
Zugspitze,A,Tyrol
Tirich Mir,AFG,Afghanistan
Jezerce,AL,Albania
Korab,AL,Albania
Mt. Kosciuszko,AUS,New South Wales
Uluru,AUS,Northern Territory
Mt. Bogong,AUS,Victoria
Musala,BG,Bulgaria
Illampu,BOL,Bolivia
Illimani,BOL,Bolivia
Licancabur,BOL,Bolivia
Sajama,BOL,Bolivia
Pico de Agulhas Negras,BR,Minas Gerais
Pico de Agulhas Negras,BR,Rio de Janeiro
Pico Turquino,C,Granma
Pico Turquino,C,Santiago de Cuba
Fako,CAM,Sudoueste
Mt Columbia,CDN,Alberta
Mt Columbia,CDN,British Columbia
Mt Fairweather,CDN,British Columbia
Mt Robson,CDN,British Columbia
Mt Waddington,CDN,British Columbia
Barbeau Peak,CDN,Northwest Territories
Mt. Odin,CDN,Northwest Territories
Mt. Babel,CDN,Quebec
Mt Bona,CDN,Saskatchewan
