River,Country,Province
Raab,A,Burgenland
Drau,A,Carinthia
Donau,A,Lower Austria
March,A,Lower Austria
Enns,A,Salzburg
Mur,A,Salzburg
Salzach,A,Salzburg
Mur,A,Styria
Raab,A,Styria
Inn,A,Tyrol
Isar,A,Tyrol
Lech,A,Tyrol
Donau,A,Upper Austria
Donau,A,Vienna
Iller,A,Vorarlberg
Lech,A,Vorarlberg
Rhein,A,Vorarlberg
Amudarja,AFG,Afghanistan
Pjandsh,AFG,Afghanistan
Black Drin,AL,Albania
Drin,AL,Albania
White Drin,AL,Albania
Cuilo,ANG,Bie
Cuilo,ANG,Cuando Cubango
Cuango,ANG,Lunda Norte
Kasai,ANG,Lunda Norte
Cuango,ANG,Lunda Sul
Kasai,ANG,Lunda Sul
Cuango,ANG,Malanje
Cuilo,ANG,Moxico
Kasai,ANG,Moxico
Zambezi,ANG,Moxico
Cuango,ANG,Uige
Murrumbidgee River,AUS,Australia Capital Territory
Darling River,AUS,New South Wales
Murray River,AUS,New South Wales
Murrumbidgee River,AUS,New South Wales
Darling River,AUS,Queensland
Murray River,AUS,South Australia
Murray River,AUS,Victoria
Kura,AZ,Azerbaijan
Maas,B,Liege
Maas,B,Limburg
Maas,B,Namur
Brahmaputra,BD,Bangladesh
Ganges,BD,Bangladesh
Volta,BF,Burkina Faso
Donau,BG,Bulgaria
Ruzizi,BI,Burundi
Save,BIH,Bosnia and Herzegovina
Paraguay,BOL,Bolivia
Rio Desaguadero,BOL,Bolivia
Rio Madeira,BOL,Bolivia
Rio Mamore,BOL,Bolivia
Rio Sao Francisco,BR,Alagoas
Amazonas,BR,Amapa
Amazonas,BR,Amazonas
Rio Madeira,BR,Amazonas
Rio Negro,BR,Amazonas
Rio Sao Francisco,BR,Bahia
Parana,BR,Goias
Tocantins,BR,Goias
Tocantins,BR,Maranhao
Paraguay,BR,Mato Grosso
Paraguay,BR,Mato Grosso do Sul
Parana,BR,Mato Grosso do Sul
Parana,BR,Minas Gerais
Rio Sao Francisco,BR,Minas Gerais
Amazonas,BR,Para
Tocantins,BR,Para
Parana,BR,Parana
Rio Sao Francisco,BR,Pernambuco
Uruguay,BR,Rio Grande do Sul
Rio Madeira,BR,Rondonia
Rio Negro,BR,Roraima
Parana,BR,Sao Paulo
Rio Sao Francisco,BR,Sergipe
Tocantins,BR,Tocantins
Dnepr,BY,Belarus
Western Dwina,BY,Belarus
Sanaga,CAM,Centre
Sanaga,CAM,Cote/Littoral
Sanaga,CAM,Est
Sanga,CAM,Est
Benue,CAM,Nord
