Island,Sea,Lake,River
Svalbard,Norwegian Sea,,
Svalbard,Barents Sea,,
Svalbard,Arctic Ocean,,
Greenland,Atlantic Ocean,,
Greenland,Norwegian Sea,,
Greenland,Arctic Ocean,,
Iceland,Atlantic Ocean,,
Iceland,Norwegian Sea,,
Aust-Vagoey,Norwegian Sea,,
Streymoy,Atlantic Ocean,,
Streymoy,Norwegian Sea,,
Ireland,Atlantic Ocean,,
Ireland,Irish Sea,,
Great Britain,North Sea,,
Great Britain,The Channel,,
Great Britain,Atlantic Ocean,,
Great Britain,Irish Sea,,
Shetland Mainland,North Sea,,
Shetland Mainland,Norwegian Sea,,
Orkney Mainland,North Sea,,
South Ronaldsay,North Sea,,
Hoy,North Sea,,
Westray,North Sea,,
Barra,Atlantic Ocean,,
South Uist,Atlantic Ocean,,
Benbecula,Atlantic Ocean,,
North Uist,Atlantic Ocean,,
Lewis and Harris,Atlantic Ocean,,
Skye,Atlantic Ocean,,
Rhum,Atlantic Ocean,,
Mull,Atlantic Ocean,,
Islay,Atlantic Ocean,,
Jura,Atlantic Ocean,,
Arran,Atlantic Ocean,,
