Name,Area,Depth,Altitude,Type,River,Longitude,Latitude
Ammersee,46.6,81.1,533.0,,Ammer,11.6,48.0
Arresoe,40.2,5.6,0.0,,,12.1,56.0
Atlin Lake,798.0,283.0,668.0,,Yukon River,-133.75,59.5
Balaton,594.0,12.5,104.0,,,17.6,46.8
Barrage de Mbakaou,0.0,0.0,0.0,artificial,Sanaga,12.75,6.4
Bodensee,538.5,254.0,395.0,,Rhein,9.4,47.6
Brienzersee,29.8,260.0,564.0,,Aare,7.97,46.73
Caspian Sea,386400.0,995.0,-28.0,salt,,51.0,41.0
Chad Lake,23000.0,7.0,250.0,salt,,14.0,13.2
Chew Bahir,800.0,7.5,520.0,salt,,36.85,4.7
Chickamauga Lake,147.0,0.0,0.0,,Tennessee,-85.0,35.4
Chiemsee,80.0,73.0,518.0,,Alz,12.4,47.9
Crater Lake,53.2,594.0,1883.0,caldera,,-122.1,42.9
