City,Province,Country,Island
Saint Johns,Antigua and Barbuda,AG,Antigua
Pago Pago,American Samoa,AMSA,Tutuila
Oranjestad,Aruba,ARU,Aruba
Hobart,Tasmania,AUS,Tasmania
The Valley,Anguilla,AXA,Anguilla
Bridgetown,Barbados,BDS,Barbados
Hamilton,Bermuda,BERM,Grand Bermuda
Manama,Bahrain,BRN,Bahrain
Bandar Seri Begawan,Brunei,BRU,Borneo
Nassau,Bahamas,BS,New Providence
Road Town,British Virgin Islands,BVIR,Tortola
Bayamo,Granma,C,Cuba
Camaguey,Camaguey,C,Cuba
Ciego de Avila,Ciego de Avila,C,Cuba
Cienfuegos,Cienfuegos,C,Cuba
Guantanamo,Guantanamo,C,Cuba
Havana,Ciudad de la Habana,C,Cuba
Holguin,Holguin,C,Cuba
Manzanillo,Granma,C,Cuba
Matanzas,Matanzas,C,Cuba
Nueva Gerona,Isla de la Juventud,C,Cuba
Pinar del Rio,Pinar del Rio,C,Cuba
Sancti Spiritus,Sancti Spiritus,C,Cuba
Santa Clara,Villa Clara,C,Cuba
Santiago de Cuba,Santiago de Cuba,C,Cuba
Victoria de las Tunas,Las Tunas,C,Cuba
George Town,Cayman Islands,CAYM,Grand Cayman
Saint Johns,Newfoundland,CDN,Newfoundland
Victoria,British Columbia,CDN,Vancouver Island
Colombo,Sri Lanka,CL,Sri Lanka
West Island,Cocos Islands,COCO,Pulau Panjang
Moroni,Comoros,COM,Grand Comoro
Avarua,Cook Islands,COOK,Rarotonga
Praia,Cape Verde,CV,Santiago
Nicosia,Cyprus,CY,Cyprus
Copenhagen,Denmark,DK,Seeland
Odense,Denmark,DK,Fuenen
Santo Domingo,Dominican Republic,DOM,Hispaniola
La Laguna,Canary Islands,E,Teneriffa
Las Palmas de Gran Canaria,Canary Islands,E,Gran Canaria
Palma de Mallorca,Balearic Islands,E,Mallorca
Santa Cruz de Tenerife,Canary Islands,E,Teneriffa
Ajaccio,Corse,F,Corse
