Abbreviation,Name,City,Country,Province,Established
ABEDA,Arab Bank for Economic Development in Africa,Khartoum,SUD,al Khartum,1974-02-18
ACC,Arab Cooperation Council,,,,1989-02-16
ACCT,Agency for Cultural and Technical Cooperation,Paris,F,Ile de France,1970-03-21
ACP,"African, Caribbean, and Pacific Countries",Brussels,B,Brabant,1976-04-01
AfDB,African Development Bank,Abidjan,CI,Cote dIvoire,1963-08-04
AFESD,Arab Fund for Economic and Social Development,,,,1968-05-16
AG,Andean Group,Lima,PE,Lima,1969-05-26
AL,Arab League,Cairo,ET,El Qahira,1945-03-22
AMF,Arab Monetary Fund,Abu Dhabi,UAE,Abu Dhabi,1976-04-27
AMU,Arab Maghreb Union,Rabat,MA,Morocco,1989-02-17
ANC,North Atlantic Cooperation Council,Brussels,B,Brabant,1991-11-08
ANZUS,Australia-New Zealand-United States Security Treaty,Canberra,AUS,Australia Capital Territory,1951-09-01
APEC,Asia Pacific Economic Cooperation,Singapore,SGP,Singapore,1989-11-07
AsDB,Asian Development Bank,Manila,RP,Philippines,1966-12-19
ASEAN,Association of Southeast Asian Nations,Jakarta,RI,Indonesia,1967-08-09
