Country,Independence,Dependent,Government
A,1918-11-12,,federal republic
AFG,1919-08-19,,transitional government
AG,1981-11-01,,parliamentary democracy
AL,1912-11-28,,emerging democracy
AMSA,,USA,unincorporated and unorganized territory of the US
AND,,,parliamentary democracy that retains as its heads of state a coprincipality
ANG,1975-11-11,,transitional government nominally a multiparty democracy with a strong presidential system
ARM,1918-05-28,,republic
ARU,,NL,part of the Dutch realm
AUS,1901-01-01,,federal parliamentary state
AXA,,GB,British Overseas Territories
AZ,1991-08-30,,republic
B,1830-10-04,,constitutional monarchy
BD,1971-12-16,,republic
BDS,1966-11-30,,parliamentary democracy
BEN,1960-08-01,,republic under multiparty democratic rule dropped Marxism Leninism December 1989
BERM,,GB,British Overseas Territories
BF,1960-08-05,,parliamentary
BG,1908-09-22,,emerging democracy
BHT,1949-08-08,,monarchy
BI,1962-07-01,,republic
BIH,1992-04-01,,emerging democracy
BOL,1825-08-06,,republic
