Name,Country,Population,Area,Capital,CapProv
Aali an Nil,SUD,1599605,238792.0,Malakal,Aali an Nil
Aberconwy and Colwyn,GB,110700,1130.0,Colwyn Bay,Aberconwy and Colwyn
Abruzzo,I,1263000,10794.0,LAquila,Abruzzo
Abu Dhabi,UAE,670000,67350.0,,
Acre,BR,483483,153149.0,Rio Branco,Acre
Ad Tamim,IRQ,592869,10282.0,Kirkuk,Ad Tamim
Adamaoua,CAM,495200,63691.0,Ngaoundere,Adamaoua
Adana,TR,1934907,17253.0,Adana,Adana
Adiyaman,TR,513131,7614.0,Adiyaman,Adiyaman
Afghanistan,AFG,22664136,0.0,Kabul,Afghanistan
Afyon,TR,739223,14230.0,Afyon,Afyon
AG,CH,528887,1403.0,Aarau,AG
Agri,TR,437093,11376.0,Agri,Agri
Aguascalientes,MEX,862720,5589.0,Aguascalientes,Aguascalientes
Ahal,TM,416400,0.0,Ashgabat,Ahal
AI,CH,14750,172.0,Appenzell,AI
Aichi,J,6868336,5138.0,Nagoya,Aichi
Ajman,UAE,64000,64.0,,
Akershus,N,393217,0.0,Oslo,Oslo
Akita,J,1213667,11612.0,Akita,Akita
Aksaray,TR,326399,7626.0,Aksaray,Aksaray
Al Anbar,IRQ,817868,138501.0,Ar Ramadi,Al Anbar
Al Basrah,IRQ,872211,19070.0,Al Basrah,Al Basrah
Al Fujayrah,UAE,54000,1150.0,,
al Istiwaiyah,SUD,1406181,197969.0,Juba,al Istiwaiyah
al Khartum,SUD,1802299,28165.0,Khartoum,al Khartum
Al Muthanna,IRQ,312911,51740.0,As Samawah,Al Muthanna
Al Qadisiyah,IRQ,560797,8153.0,Diwaniyah,Al Qadisiyah
Alabama,USA,4319154,133915.0,Montgomery,Alabama
Alagoas,BR,2637843,27933.0,Maceio,Alagoas
Alajuela,CR,569984,9753.0,Alajuela,Alajuela
Aland,SF,23000,0.0,Mariehamn,Aland
Alaska,USA,609311,1530690.0,Juneau,Alaska
Alba,RO,428000,6231.0,Alba Iulia,Alba
Albania,AL,3249136,0.0,Tirane,Albania
Alberta,CDN,2696826,661185.0,Edmonton,Alberta
Algarve,P,340100,4960.0,Faro,Algarve
Algeria,DZ,29183032,0.0,Algier,Algeria
Almaty,KAZ,963100,105700.0,Almaty,Almaty (munic.)
Almaty (munic.),KAZ,1172400,0.0,Almaty,Almaty (munic.)
Alsace,F,1624000,8280.0,Strasbourg,Alsace
Altayskiy kray,R,2690100,169100.0,Barnaul,Altayskiy kray
Alvsborg,S,444259,11395.0,Vanersborg,Alvsborg
Amapa,BR,373994,143453.0,Macapa,Amapa
Amasya,TR,357191,5520.0,Amasya,Amasya
Amazonas,BR,2390102,1577820.0,Manaus,Amazonas
Amazonas,CO,39937,109665.0,Leticia,Amazonas
Amazonas,PE,374587,39249.0,Chachapoyas,Amazonas
Amazonas,YV,94590,175750.0,Puerto Ayacucho,Amazonas
American Samoa,AMSA,65628,0.0,Pago Pago,American Samoa
Amurskaya oblast,R,1037800,363700.0,Blagoveshchensk,Amurskaya oblast
An Najaf,IRQ,583493,28824.0,An Najaf,An Najaf
Anatoliki Makedhonia kai Thraki,GR,574308,14157.0,Komotini,Anatoliki Makedhonia kai Thraki
Ancash,PE,1024398,35825.0,Huaraz,Ancash
Andalusia,E,7053043,87600.0,Sevilla,Andalusia
Andaman and Nicobar Is.,IND,280661,8249.0,Port Blair,Andaman and Nicobar Is.
Andhra Pradesh,IND,66508008,275045.0,Hyderabad,Andhra Pradesh
Andijon,UZB,1899000,4200.0,Andijon,Andijon
