Country,Name,Percentage
BERM,African Methodist Episcopal,11.0
AUS,Anglican,26.1
AXA,Anglican,29.0
BERM,Anglican,23.0
BS,Anglican,20.0
CAYM,Anglican,5.7
CDN,Anglican,8.0
IRL,Anglican,3.0
NORF,Anglican,39.0
NZ,Anglican,24.0
PNG,Anglican,5.0
SLB,Anglican,34.0
SY,Anglican,8.0
TT,Anglican,14.4
TUCA,Anglican,18.0
VU,Anglican,15.0
WL,Anglican,3.0
GE,Armenian Apostolic,8.0
IR,Bahai,1.0
TUV,Bahai,1.0
BS,Baptist,32.0
NZ,Baptist,2.0
SLB,Baptist,17.0
TUCA,Baptist,40.0
VIRG,Baptist,42.0
BHT,Buddhist,75.0
BRU,Buddhist,14.0
CL,Buddhist,69.0
IND,Buddhist,0.7
J,Buddhist,84.0
K,Buddhist,95.0
LAO,Buddhist,60.0
MACX,Buddhist,45.0
MYA,Buddhist,89.0
NEP,Buddhist,5.0
RI,Buddhist,1.0
ROK,Buddhist,47.4
RP,Buddhist,3.0
THA,Buddhist,95.0
XMAS,Buddhist,36.0
ROK,Chondogyo,0.2
AUS,Christian,24.3
BEN,Christian,15.0
BF,Christian,10.0
BI,Christian,67.0
