Country,Target
A,True
AFG,True
AG,False
AL,False
AMSA,False
AND,False
ANG,False
ARM,True
ARU,False
AUS,True
AXA,False
AZ,True
B,True
BD,True
BDS,False
BEN,False
BERM,False
BF,False
BG,True
BHT,False
BI,False
BIH,False
BOL,True
BR,True
BRN,False
BRU,False
BS,False
BVIR,False
BY,True
BZ,False
C,True
CAM,True
CAYM,False
CDN,True
CH,True
CI,True
CL,True
CO,True
COCO,False
COM,False
COOK,False
CR,True
CV,False
CY,False
CZ,True
D,True
DJI,False
DK,True
DOM,True
DZ,True
E,True
EAK,True
EAT,True
EAU,True
EC,True
ER,False
ES,True
ET,True
ETH,True
EW,True
F,True
FALK,False
FARX,False
FGU,False
FJI,False
FL,False
FPOL,False
FSM,False
G,False
GAZA,False
GB,True
GBG,False
GBJ,False
GBM,False
GBZ,False
GCA,True
GE,False
GH,True
GNB,False
GQ,False
GR,True
GROX,False
GUAD,False
GUAM,False
GUY,False
H,True
HCA,True
HELX,False
HONX,True
HR,True
I,True
IL,True
IND,True
IR,True
IRL,True
IRQ,True
IS,False
J,True
JA,True
JOR,True
K,False
KAZ,True
KGZ,False
KIR,False
KN,False
KOS,False
KWT,True
L,True
LAO,False
LAR,True
LB,False
LS,False
LT,True
LV,True
M,False
MA,True
MACX,True
MAL,True
MART,False
MAYO,False
MC,False
MD,True
MEX,True
MH,False
MK,False
MNE,False
MNG,False
MNTS,False
MOC,True
MS,True
MV,False
MW,False
MYA,True
N,True
,False
NAM,False
NAU,False
NCA,False
NEP,True
NIC,False
NIUE,False
NL,True
NMIS,False
NOK,True
NORF,False
NZ,True
OM,True
P,True
PA,True
PAL,False
PE,True
PITC,False
PK,True
PL,True
PNG,True
PR,True
PY,True
Q,True
R,True
RA,True
RB,False
RC,True
RCA,False
RCB,False
RCH,True
REUN,False
RG,False
RH,False
RI,True
RIM,False
RL,True
RM,True
RMM,False
RN,False
RO,True
ROK,True
ROU,True
RP,True
RSA,True
RSM,False
RT,False
RWA,False
S,True
SA,True
SD,False
SF,True
SGP,True
SK,True
SLB,False
SLO,True
SMAR,False
SME,False
SN,True
SP,False
SPMI,False
SRB,True
STP,False
SUD,True
SVAX,False
SY,False
SYR,True
TAD,False
TCH,False
THA,True
TJ,True
TL,False
TM,True
TN,True
TO,False
TR,True
TT,True
TUCA,False
TUV,False
UA,True
UAE,True
USA,True
UZB,True
V,False
VIRG,False
VN,True
VU,False
WAFU,False
WAG,False
WAL,False
WAN,True
WD,False
WEST,False
WG,False
WL,False
WS,False
WSA,False
WV,False
XMAS,False
YE,True
YV,True
Z,True
ZRE,True
ZW,True
