Country,Target
A,False
AFG,False
AG,False
AL,True
AMSA,False
AND,False
ANG,True
ARM,True
ARU,False
AUS,False
AXA,False
AZ,True
B,False
BD,False
BDS,False
BEN,True
BERM,False
BF,False
BG,True
BHT,True
BI,True
BIH,False
BOL,True
BR,True
BRN,False
BRU,False
BS,False
BVIR,False
BY,True
BZ,False
C,False
CAM,True
CAYM,False
CDN,False
CH,False
CI,True
CL,True
CO,True
COCO,False
COM,True
COOK,False
CR,True
CV,False
CY,False
CZ,True
D,False
DJI,False
DK,False
DOM,True
DZ,True
E,False
EAK,False
EAT,True
EAU,True
EC,True
ER,True
ES,True
ET,True
ETH,True
EW,True
F,False
FALK,False
FARX,True
FGU,False
FJI,False
FL,False
FPOL,False
FSM,False
G,True
GAZA,False
GB,False
GBG,True
GBJ,False
GBM,True
GBZ,False
GCA,True
GE,False
GH,True
GNB,True
GQ,True
GR,True
GROX,False
GUAD,False
GUAM,False
GUY,True
H,True
HCA,True
HELX,False
HONX,False
HR,False
I,False
IL,True
IND,True
IR,True
IRL,False
IRQ,False
IS,False
J,False
JA,True
JOR,False
K,False
KAZ,True
KGZ,True
KIR,False
KN,False
KOS,False
KWT,False
L,False
LAO,True
LAR,True
LB,True
LS,True
LT,True
LV,True
M,False
MA,False
MACX,True
MAL,False
MART,False
MAYO,False
MC,False
MD,True
MEX,True
MH,False
MK,True
MNE,False
MNG,True
MNTS,False
MOC,True
MS,True
MV,True
MW,True
MYA,True
N,False
,False
NAM,True
NAU,False
NCA,False
NEP,True
NIC,True
NIUE,False
NL,False
NMIS,False
NOK,False
NORF,False
NZ,False
OM,False
P,False
PA,False
PAL,False
PE,True
PITC,False
PK,True
PL,True
PNG,True
PR,True
PY,True
Q,False
R,True
RA,False
RB,True
RC,False
RCA,True
RCB,True
RCH,True
REUN,False
RG,False
RH,True
RI,True
RIM,False
RL,True
RM,True
RMM,True
RN,True
RO,True
ROK,False
ROU,True
RP,True
RSA,True
RSM,False
RT,True
RWA,True
S,False
SA,False
SD,True
SF,False
SGP,False
SK,True
SLB,True
SLO,True
SMAR,False
SME,True
SN,True
SP,False
SPMI,False
SRB,True
STP,True
SUD,True
SVAX,False
SY,False
SYR,True
TAD,True
TCH,True
THA,False
TJ,True
TL,True
TM,True
TN,False
TO,False
TR,True
TT,False
TUCA,False
TUV,False
UA,True
UAE,False
USA,False
UZB,True
V,False
VIRG,False
VN,True
VU,True
WAFU,False
WAG,False
WAL,True
WAN,True
WD,False
WEST,True
WG,False
WL,False
WS,True
WSA,False
WV,False
XMAS,False
YE,True
YV,True
Z,True
ZRE,True
ZW,True
