Country,Target
A,Europe
AFG,Asia
AG,America
AL,Europe
AMSA,Australia/Oceania
AND,Europe
ANG,Africa
ARM,Asia
ARU,America
AUS,Australia/Oceania
AXA,America
AZ,Asia
B,Europe
BD,Asia
BDS,America
BEN,Africa
BERM,America
BF,Africa
BG,Europe
BHT,Asia
BI,Africa
BIH,Europe
BOL,America
BR,America
BRN,Asia
BRU,Asia
BS,America
BVIR,America
BY,Europe
BZ,America
C,America
CAM,Africa
CAYM,America
CDN,America
CH,Europe
CI,Africa
CL,Asia
CO,America
COCO,Australia/Oceania
COM,Africa
COOK,Australia/Oceania
CR,America
CV,Africa
CY,Europe
CZ,Europe
D,Europe
DJI,Africa
DK,Europe
DOM,America
DZ,Africa
E,Europe
EAK,Africa
EAT,Africa
EAU,Africa
EC,America
ER,Africa
ES,America
ET,Africa
ET,Asia
ETH,Africa
EW,Europe
F,Europe
FALK,America
FARX,Europe
FGU,America
FJI,Australia/Oceania
FL,Europe
FPOL,Australia/Oceania
FSM,Australia/Oceania
G,Africa
GAZA,Asia
GB,Europe
GBG,Europe
GBJ,Europe
GBM,Europe
GBZ,Europe
GCA,America
GE,Asia
GH,Africa
GNB,Africa
GQ,Africa
GR,Europe
GROX,America
GUAD,America
GUAM,Australia/Oceania
GUY,America
H,Europe
HCA,America
HELX,Australia/Oceania
HONX,Asia
HR,Europe
I,Europe
IL,Asia
IND,Asia
IR,Asia
IRL,Europe
IRQ,Asia
IS,Europe
J,Asia
JA,America
JOR,Asia
K,Asia
KAZ,Asia
KGZ,Asia
KIR,Australia/Oceania
KN,America
KOS,Europe
KWT,Asia
L,Europe
LAO,Asia
LAR,Africa
LB,Africa
LS,Africa
LT,Europe
LV,Europe
M,Europe
MA,Africa
MACX,Asia
MAL,Asia
MART,America
MAYO,Africa
MC,Europe
MD,Europe
MEX,America
MH,Australia/Oceania
MK,Europe
MNE,Europe
MNG,Asia
MNTS,America
MOC,Africa
MS,Africa
MV,Asia
MW,Africa
MYA,Asia
N,Europe
,America
NAM,Africa
NAU,Australia/Oceania
NCA,Australia/Oceania
NEP,Asia
NIC,America
NIUE,Australia/Oceania
NL,Europe
NMIS,Australia/Oceania
NOK,Asia
NORF,Australia/Oceania
NZ,Australia/Oceania
OM,Asia
P,Europe
PA,America
PAL,Australia/Oceania
PE,America
PITC,Australia/Oceania
PK,Asia
PL,Europe
PNG,Australia/Oceania
PR,America
PY,America
Q,Asia
R,Asia
R,Europe
RA,America
RB,Africa
RC,Asia
RCA,Africa
RCB,Africa
RCH,America
REUN,Australia/Oceania
RG,Africa
RH,America
RI,Asia
RI,Australia/Oceania
RIM,Africa
RL,Asia
RM,Africa
RMM,Africa
RN,Africa
RO,Europe
ROK,Asia
ROU,America
RP,Asia
RSA,Africa
RSM,Europe
RT,Africa
RWA,Africa
S,Europe
SA,Asia
SD,Africa
SF,Europe
SGP,Asia
SK,Europe
SLB,Australia/Oceania
SLO,Europe
SMAR,America
SME,America
SN,Africa
SP,Africa
SPMI,America
SRB,Europe
STP,Africa
SUD,Africa
SVAX,Europe
SY,Africa
SYR,Asia
TAD,Asia
TCH,Africa
THA,Asia
TJ,Asia
TL,Asia
TM,Asia
TN,Africa
TO,Australia/Oceania
TR,Asia
TR,Europe
TT,America
TUCA,America
TUV,Australia/Oceania
UA,Europe
UAE,Asia
USA,America
UZB,Asia
V,Europe
VIRG,America
VN,Asia
VU,Australia/Oceania
WAFU,Australia/Oceania
WAG,Africa
WAL,Africa
WAN,Africa
WD,America
WEST,Asia
WG,America
WL,America
WS,Australia/Oceania
WSA,Africa
WV,America
XMAS,Australia/Oceania
YE,Asia
YV,America
Z,Africa
ZRE,Africa
ZW,Africa
