Country,Target
A,False
AFG,True
AG,False
AL,True
AMSA,False
AND,False
ANG,True
ARM,False
ARU,False
AUS,False
AXA,False
AZ,True
B,False
BD,True
BDS,False
BEN,True
BERM,False
BF,True
BG,False
BHT,True
BI,True
BIH,True
BOL,True
BR,True
BRN,False
BRU,False
BS,False
BVIR,False
BY,False
BZ,False
C,False
CAM,True
CAYM,False
CDN,False
CH,False
CI,True
CL,False
CO,False
COCO,False
COM,True
COOK,False
CR,False
CV,True
CY,False
CZ,False
D,False
DJI,True
DK,False
DOM,True
DZ,True
E,False
EAK,True
EAT,True
EAU,True
EC,False
ER,True
ES,False
ET,True
ETH,True
EW,False
F,False
FALK,False
FARX,False
FGU,False
FJI,False
FL,False
FPOL,False
FSM,False
G,True
GAZA,False
GB,False
GBG,False
GBJ,False
GBM,False
GBZ,False
GCA,True
GE,False
GH,True
GNB,True
GQ,True
GR,False
GROX,False
GUAD,False
GUAM,False
GUY,True
H,False
HCA,True
HELX,False
HONX,False
HR,False
I,False
IL,False
IND,True
IR,True
IRL,False
IRQ,True
IS,False
J,False
JA,False
JOR,False
K,True
KAZ,True
KGZ,True
KIR,True
KN,False
KOS,False
KWT,False
L,False
LAO,True
LAR,True
LB,True
LS,True
LT,False
LV,False
M,False
MA,True
MACX,False
MAL,False
MART,False
MAYO,True
MC,False
MD,True
MEX,False
MH,True
MK,False
MNE,False
MNG,True
MNTS,False
MOC,True
MS,False
MV,True
MW,True
MYA,True
N,False
,False
NAM,True
NAU,True
NCA,False
NEP,True
NIC,True
NIUE,False
NL,False
NMIS,False
NOK,False
NORF,False
NZ,False
OM,False
P,False
PA,False
PAL,False
PE,True
PITC,False
PK,True
PL,False
PNG,True
PR,False
PY,False
Q,False
R,False
RA,False
RB,True
RC,False
RCA,True
RCB,True
RCH,False
REUN,False
RG,True
RH,True
RI,True
RIM,True
RL,False
RM,True
RMM,True
RN,True
RO,False
ROK,False
ROU,False
RP,False
RSA,True
RSM,False
RT,True
RWA,True
S,False
SA,True
SD,True
SF,False
SGP,False
SK,False
SLB,False
SLO,False
SMAR,False
SME,False
SN,True
SP,True
SPMI,False
SRB,False
STP,True
SUD,True
SVAX,False
SY,False
SYR,False
TAD,True
TCH,True
THA,False
TJ,False
TL,True
TM,True
TN,False
TO,True
TR,True
TT,False
TUCA,False
TUV,False
UA,False
UAE,False
USA,False
UZB,True
V,False
VIRG,False
VN,False
VU,True
WAFU,False
WAG,True
WAL,True
WAN,True
WD,False
WEST,False
WG,False
WL,False
WS,False
WSA,True
WV,False
XMAS,False
YE,True
YV,False
Z,True
ZRE,True
ZW,True
