Country,Target
A,False
AFG,True
AG,False
AL,False
AMSA,False
AND,True
ANG,True
ARM,False
ARU,False
AUS,False
AXA,True
AZ,False
B,False
BD,True
BDS,False
BEN,True
BERM,False
BF,True
BG,False
BHT,True
BI,False
BIH,False
BOL,True
BR,False
BRN,True
BRU,True
BS,False
BVIR,True
BY,False
BZ,True
C,False
CAM,True
CAYM,True
CDN,False
CH,False
CI,True
CL,False
CO,False
COCO,False
COM,True
COOK,False
CR,True
CV,True
CY,False
CZ,False
D,False
DJI,False
DK,False
DOM,False
DZ,True
E,False
EAK,True
EAT,False
EAU,True
EC,True
ER,True
ES,True
ET,True
ETH,True
EW,False
F,False
FALK,False
FARX,False
FGU,True
FJI,False
FL,False
FPOL,False
FSM,True
G,False
GAZA,True
GB,False
GBG,False
GBJ,False
GBM,False
GBZ,False
GCA,True
GE,False
GH,True
GNB,True
GQ,True
GR,False
GROX,False
GUAD,False
GUAM,False
GUY,False
H,False
HCA,True
HELX,False
HONX,False
HR,False
I,False
IL,True
IND,False
IR,True
IRL,False
IRQ,True
IS,False
J,False
JA,False
JOR,True
K,True
KAZ,False
KGZ,False
KIR,True
KN,False
KOS,False
KWT,True
L,False
LAO,True
LAR,True
LB,True
LS,True
LT,False
LV,False
M,False
MA,True
MACX,False
MAL,True
MART,False
MAYO,True
MC,False
MD,False
MEX,True
MH,True
MK,False
MNE,False
MNG,False
MNTS,False
MOC,True
MS,False
MV,True
MW,False
MYA,True
N,False
,False
NAM,True
NAU,False
NCA,False
NEP,True
NIC,True
NIUE,False
NL,False
NMIS,True
NOK,False
NORF,False
NZ,False
OM,True
P,False
PA,False
PAL,False
PE,False
PITC,False
PK,True
PL,False
PNG,True
PR,False
PY,True
Q,True
R,False
RA,False
RB,False
RC,False
RCA,True
RCB,True
RCH,False
REUN,True
RG,True
RH,True
RI,False
RIM,True
RL,True
RM,True
RMM,True
RN,True
RO,False
ROK,False
ROU,False
RP,True
RSA,True
RSM,False
RT,True
RWA,True
S,False
SA,True
SD,True
SF,False
SGP,True
SK,False
SLB,True
SLO,False
SMAR,False
SME,False
SN,True
SP,True
SPMI,False
SRB,False
STP,True
SUD,True
SVAX,False
SY,False
SYR,True
TAD,False
TCH,True
THA,False
TJ,False
TL,True
TM,True
TN,True
TO,False
TR,False
TT,False
TUCA,True
TUV,False
UA,False
UAE,True
USA,False
UZB,True
V,False
VIRG,False
VN,False
VU,True
WAFU,False
WAG,True
WAL,True
WAN,True
WD,False
WEST,True
WG,False
WL,False
WS,True
WSA,True
WV,False
XMAS,False
YE,True
YV,True
Z,True
ZRE,False
ZW,False
