molecule_id,ind1,inda,logp,lumo,mutagenic
d26,0,0,2.17,-2.072,yes
d14,0,0,1.77,-1.289,no
d74,1,0,5.87,-1.689,yes
d156,0,0,1.92,-0.854,no
d4,1,0,4.69,-1.591,yes
d174,1,0,4.44,-2.209,yes
d115,0,0,2.74,-1.161,yes
d29,1,0,2.42,-2.837,yes
d71,1,0,6.01,-2.095,yes
d105,1,0,1.84,-1.749,yes
d103,1,0,4.69,-1.487,yes
d34,0,0,3.24,-1.451,no
d7,0,0,3.99,-1.144,no
d163,1,0,4.44,-1.974,yes
d27,1,0,5.87,-1.801,yes
d188,1,0,3.51,-0.872,no
d132,0,0,1.74,-1.499,no
d184,1,0,4.44,-2.074,yes
d51,1,0,6.01,-2.184,yes
d166,1,0,4.42,-1.709,yes
d149,1,0,2.29,-2.87,yes
d47,1,0,5.02,-1.88,yes
d15,1,0,4.69,-1.698,yes
d183,1,0,4.44,-2.294,yes
d82,1,0,4.18,-2.71,yes
d64,1,0,2.84,-2.338,yes
d36,0,0,3.43,-1.24,no
d3,0,0,1.86,-1.456,no
d99,1,0,2.72,-2.159,yes
d129,0,0,1.46,-1.592,no
d102,1,0,2.4,-3.172,yes
d40,0,0,3.19,-1.266,no
d78,0,0,4.27,-1.276,no
d154,0,0,1.59,-1.362,no
d139,0,0,2.72,-1.019,no
d122,1,0,5.41,-1.61,yes
d87,1,0,3.83,-1.488,yes
d53,1,0,3.35,-2.155,yes
d6,1,0,3.92,-3.406,yes
d106,1,0,4.34,-1.607,yes
d65,0,0,2.83,-1.952,no
d18,1,0,3.06,-1.861,yes
d90,1,0,5.87,-1.62,yes
d86,1,1,5.07,-1.918,yes
d159,1,0,4.19,-1.742,yes
d120,0,0,1.77,-0.937,no
d126,1,0,2.29,-2.718,yes
d20,1,0,3.4,-1.764,yes
d153,1,0,3.85,-1.151,yes
d177,1,0,2.29,-2.614,yes
d80,1,0,4.69,-1.329,yes
d116,0,0,1.8,-1.37,no
d59,1,1,5.07,-2.14,yes
d61,1,0,4.68,-1.556,yes
d148,1,0,3.36,-2.158,yes
d68,1,0,5.87,-1.766,yes
d113,0,0,1.84,-1.491,no
d145,0,0,2.68,-1.178,yes
d30,1,1,5.07,-2.005,yes
d46,1,0,6.57,-1.804,yes
d135,0,0,2.74,-1.562,no
d171,0,0,3.0,-2.508,yes
d119,0,0,3.26,-1.995,no
d84,0,0,2.61,-1.256,no
d180,1,0,6.07,-2.182,yes
d50,0,0,2.58,-1.932,yes
d48,1,0,4.23,-1.616,yes
d186,0,0,2.07,-0.574,no
d42,0,0,1.77,-1.19,no
d123,0,0,4.49,-1.056,no
d69,1,0,3.71,-1.929,yes
d25,1,0,3.43,-1.398,yes
d140,0,0,2.52,-1.751,yes
d96,1,0,4.18,-2.871,yes
d185,0,0,1.89,-2.09,no
