exp_name,accuracy,time,emb_time
mondial\EK_3_100_500_10_50000_0experiment_remove_longest_schemes_0,0.833333333,0.3975,0.04
mondial\EK_3_100_500_10_50000_0experiment_dynamic_0%in_1_ep,0.833333333,0.399444444,0.039722222
mondial\EK_3_100_500_10_50000_0experiment_dynamic_45%in_4_ep,0.833333333,0.3175,0.031944444
mondial\EK_3_100_500_10_50000_0experiment_dynamic_45%in_3_ep,0.828571429,0.315277778,0.031111111
mondial\EK_3_100_500_10_50000_0experiment_dynamic_85%in_9_ep,0.838095238,0.308055556,0.030833333
mondial\EK_3_100_500_10_50000_0experiment_dynamic_45%in_2_ep,0.833333333,0.292777778,0.030277778
mondial\EK_3_100_500_10_50000_0experiment_dynamic_45%in_1_ep,0.828571429,0.290555556,0.028888889
mondial\EK_3_100_500_10_50000_0experiment_dynamic_60%in_4_ep,0.838095238,0.283055556,0.028888889
mondial\EK_3_100_500_10_50000_0experiment_dynamic_85%in_7_ep,0.828571429,0.2675,0.028055556
mondial\EK_3_100_500_10_50000_0experiment_dynamic_60%in_3_ep,0.828571429,0.273055556,0.0275
mondial\EK_3_100_500_10_50000_0experiment_dynamic_60%in_2_ep,0.838095238,0.2625,0.026388889
mondial\EK_3_100_500_10_50000_0experiment_dynamic_85%in_6_ep,0.823809524,0.255,0.026111111
mondial\EK_3_100_500_10_50000_0experiment_dynamic_60%in_1_ep,0.838095238,0.248888889,0.025555556
mondial\EK_3_100_500_10_50000_0experiment_dynamic_85%in_5_ep,0.823809524,0.2425,0.025
mondial\EK_3_100_500_10_50000_0experiment_dynamic_75%in_4_ep,0.828571429,0.246111111,0.024722222
mondial\EK_3_100_500_10_50000_0experiment_dynamic_75%in_3_ep,0.838095238,0.229722222,0.022777778
mondial\EK_3_100_500_10_50000_0experiment_dynamic_85%in_4_ep,0.823809524,0.223055556,0.022777778
mondial\EK_3_100_500_10_50000_0experiment_dynamic_75%in_2_ep,0.828571429,0.2175,0.021666667
mondial\EK_3_100_500_10_50000_0experiment_dynamic_85%in_3_ep,0.823809524,0.212222222,0.021666667
mondial\EK_3_100_500_10_50000_0experiment_dynamic_90%in_3_ep,0.828571429,0.196388889,0.019722222
mondial\EK_3_100_500_10_50000_0experiment_dynamic_75%in_1_ep,0.828571429,0.199166667,0.019444444
mondial\EK_3_100_500_10_50000_0experiment_dynamic_85%in_2_ep,0.804761905,0.192777778,0.019166667
mondial\EK_3_100_500_10_50000_0experiment_dynamic_90%in_2_ep,0.780952381,0.178055556,0.018055556
mondial\EK_3_100_500_10_50000_0experiment_dynamic_85%in_1_ep,0.771428571,0.175,0.017222222
mondial\EK_3_100_500_10_50000_0experiment_dynamic_90%in_1_ep,0.738095238,0.1675,0.016944444
mondial\EK_4_100_500_10_50000_0experiment_all_depth_4,0.857142857,1.661111111,0.164444444
mondial\EK_4_100_500_10_50000_0experiment_all_depth_4_conditional_entropy_from_low_to_high_removed_400,0.633333333,0.603611111,0.059722222
mondial\EK_5_100_500_10_50000_0experiment_all_depth_5,0.876190476,3.97,0.390555556
mondial\EK_5_100_500_10_50000_0experiment_all_depth_5_conditional_entropy_from_low_to_high_removed_1100,0.585714286,3.039444444,0.302222222
mondial\EK_4_100_500_10_50000_0experiment_sorted_d4_mean_highest_loss_after_1_epoch_400,0.633333333,0.079166667,0.007777778
mondial\EK_4_100_500_10_50000_0experiment_sorted_d4_mean_lowest_loss_after_1_epoch_380,0.728571429,0.219166667,0.021666667
mondial\EK_4_100_500_10_50000_0experiment_sorted_d4_mean_lowest_loss_after_1_epoch_400,0.661904762,0.156388889,0.015555556
mondial\EK_4_100_500_10_50000_0experiment_sorted_d4_mean_lowest_loss_after_1_epoch_410,0.619047619,0.098333333,0.010277778
mondial\EK_4_100_500_10_50000_0experiment_sorted_d4_mean_highest_loss_after_1_epoch_400,0.633333333,0.079166667,0.007777778
mondial\EK_4_100_500_10_50000_0experiment_sorted_d4_mean_lowest_loss_after_1_epoch_250,0.847619048,0.746111111,0.075
mondial\EK_4_100_500_10_50000_0experiment_sorted_d4_mean_lowest_loss_after_1_epoch_300,0.857142857,0.474444444,0.047222222
mondial\EK_4_100_500_10_50000_0experiment_sorted_d4_mean_lowest_loss_after_1_epoch_350,0.795238095,0.303611111,0.030833333
mondial\EK_4_100_500_10_50000_0experiment_sorted_d4_mean_lowest_loss_after_1_epoch_380,0.728571429,0.219166667,0.021666667
mondial\EK_4_100_500_10_50000_0experiment_sorted_d4_mean_lowest_loss_after_1_epoch_400,0.661904762,0.156388889,0.015555556
mondial\EK_4_100_500_10_50000_0experiment_sorted_d4_mean_lowest_loss_after_1_epoch_410,0.619047619,0.098333333,0.010277778
,,,
genes\EK_3_100_500_10_50000_0experiment_dynamic_55%in_1_ep,0.886046512,0.410555556,0.041666667
genes\EK_3_100_500_10_50000_0experiment_dynamic_55%in_2_ep,0.890697674,0.416111111,0.041666667
genes\EK_3_100_500_10_50000_0experiment_dynamic_55%in_3_ep,0.894186047,0.426388889,0.043055556
genes\EK_3_100_500_10_50000_0experiment_dynamic_55%in_4_ep,0.9,0.434444444,0.043888889
genes\EK_3_100_500_10_50000_0experiment_dynamic_65%in_1_ep,0.86744186,0.358055556,0.035833333
genes\EK_3_100_500_10_50000_0experiment_dynamic_65%in_2_ep,0.887209302,0.376944444,0.037222222
genes\EK_3_100_500_10_50000_0experiment_dynamic_65%in_3_ep,0.723255814,0.386111111,0.038611111
genes\EK_3_100_500_10_50000_0experiment_dynamic_65%in_4_ep,0.724418605,0.386666667,0.038888889
genes\EK_3_100_500_10_50000_0experiment_dynamic_75%in_1_ep,0.491860465,0.282222222,0.028055556
genes\EK_3_100_500_10_50000_0experiment_dynamic_75%in_2_ep,0.573255814,0.299444444,0.030277778
genes\EK_3_100_500_10_50000_0experiment_dynamic_75%in_3_ep,0.665116279,0.320555556,0.032222222
genes\EK_3_100_500_10_50000_0experiment_dynamic_75%in_4_ep,0.71744186,0.352222222,0.035
genes\EK_3_100_500_10_50000_0experiment_dynamic_85%in_1_ep,0.439534884,0.249722222,0.025277778
genes\EK_3_100_500_10_50000_0experiment_dynamic_85%in_2_ep,0.543023256,0.271944444,0.027222222
genes\EK_3_100_500_10_50000_0experiment_dynamic_85%in_3_ep,0.658139535,0.288055556,0.028611111
genes\EK_3_100_500_10_50000_0experiment_dynamic_85%in_4_ep,0.722093023,0.309722222,0.030833333
genes\EK_3_100_500_10_50000_0experiment_dynamic_95%in_1_ep,0.439534884,0.214722222,0.021111111
genes\EK_3_100_500_10_50000_0experiment_dynamic_95%in_2_ep,0.560465116,0.235,0.023333333
genes\EK_3_100_500_10_50000_0experiment_dynamic_95%in_3_ep,0.66744186,0.257222222,0.025833333
genes\EK_3_100_500_10_50000_0experiment_dynamic_95%in_4_ep,0.710465116,0.2775,0.0275
genes\EK_3_100_500_10_50000_0experiment_dynamic_95%in_5_ep,0.734883721,0.291388889,0.028611111
genes\EK_3_100_500_10_50000_0experiment_dynamic_95%in_6_ep,0.729069767,0.309444444,0.030833333
genes\EK_3_100_500_10_50000_0experiment_dynamic_95%in_7_ep,0.768604651,0.351111111,0.035277778
genes\EK_3_100_500_10_50000_0experiment_dynamic_95%in_8_ep,0.795348837,0.407222222,0.040555556
genes\EK_3_100_500_10_50000_0experiment_dynamic_95%in_9_ep,0.795348837,0.407222222,0.040277778
genes_essential\EK_3_100_500_10_50000_0experiment_dynamic_55%in_1_ep,1.0,0.386944444,0.0375
genes_essential\EK_3_100_500_10_50000_0experiment_dynamic_55%in_2_ep,1.0,0.395555556,0.038888889
genes_essential\EK_3_100_500_10_50000_0experiment_dynamic_55%in_3_ep,1.0,0.4025,0.039722222
genes_essential\EK_3_100_500_10_50000_0experiment_dynamic_55%in_4_ep,1.0,0.415555556,0.040833333
genes_essential\EK_3_100_500_10_50000_0experiment_dynamic_65%in_1_ep,1.0,0.350555556,0.035555556
genes_essential\EK_3_100_500_10_50000_0experiment_dynamic_65%in_2_ep,1.0,0.358611111,0.036388889
genes_essential\EK_3_100_500_10_50000_0experiment_dynamic_65%in_3_ep,1.0,0.367222222,0.038055556
genes_essential\EK_3_100_500_10_50000_0experiment_dynamic_65%in_4_ep,1.0,0.368888889,0.036944444
genes_essential\EK_3_100_500_10_50000_0experiment_dynamic_75%in_1_ep,1.0,0.273888889,0.027222222
genes_essential\EK_3_100_500_10_50000_0experiment_dynamic_75%in_2_ep,1.0,0.293055556,0.029166667
genes_essential\EK_3_100_500_10_50000_0experiment_dynamic_75%in_3_ep,1.0,0.31,0.031388889
genes_essential\EK_3_100_500_10_50000_0experiment_dynamic_75%in_4_ep,1.0,0.327777778,0.033055556
genes_essential\EK_3_100_500_10_50000_0experiment_dynamic_85%in_1_ep,1.0,0.236666667,0.023888889
genes_essential\EK_3_100_500_10_50000_0experiment_dynamic_85%in_2_ep,1.0,0.260277778,0.025833333
genes_essential\EK_3_100_500_10_50000_0experiment_dynamic_85%in_3_ep,1.0,0.278611111,0.027777778
